song,artist,youtube_id,AI_Keywords
十年,陳奕迅,q5vxoGF9hPU,"黑白灰, The Line-Up, 2003, 2000年代, 2000s, 香港, 華語流行, Mandopop, 陳奕迅式情歌, Eason Chan Style, 流行抒情, Pop Ballad, 渾厚嗓音, Deep Vocals, 情感渲染, Emotional Delivery, 鋼琴主導, Piano, 弦樂編制, String Arrangement, 經典, Classic, 懷舊, Nostalgic, 療癒, Healing, 情感共鳴, Emotional, 深刻, Profound, 如果那兩個字沒有顫抖, 十年之前我不認識你"
我在你心裡,"陳隨意, 謝宜君",,"幸福滿滿, Full Of Happiness, 2013, 2010年代, 2010s, Taiwan, 華語流行, Mandopop, 台語流行, Taiwanese Pop, 對唱情歌, Duet Ballad, 傳統流行, Traditional Pop, 渾厚嗓音, Powerful Vocals, 情感詮釋, Expressive Vocals, 鋼琴伴奏, Piano, 弦樂編制, Strings, 浪漫氛圍, Romantic, 婚禮歌單, Wedding, 約會, Dating, 懷舊感, Nostalgic, 經典, Classic, 感謝你對阮的體貼, 我在你心裡存放一份真情"
怎麼了,周興哲,moAF8yJ9y60,"終於了解, What's Wrong, 2019, 2010年代, 2010s, 台灣, 華語流行, Mandopop, 周氏情歌, Eric Chou Style, 流行抒情, Pop Ballad, R&B, 靈魂樂, Soul, 鋼琴伴奏, Piano, 鼓組節奏, Drums, 合成器, Synthesizer, 撕裂嗓音, Raw Vocals, 情感爆發, Emotional, 療癒系, Healing, 浪漫, Romantic, 約會, Dating, 傷感, Melancholic, 經典, Classic, 我說了你現在過得好嗎, 你說呢"
漂向北方,"黃明志, 王力宏",4Zk3j49y7mg,"亞洲通車, Asianாலே, 2017, 2010年代, 2010s, 馬來西亞, 華語流行, Mandopop, 嘻哈, Hip Hop, 流行抒情, Pop Ballad, 說唱, Rap, 強力男聲, Powerful Vocals, 戲劇張力, Dramatic Tension, 鋼琴伴奏, Piano, 重節奏, Heavy Groove, 城市生活, Urban Life, 情感爆發, Emotional Outburst, 深刻, Deep, 史詩感, Epic, 經典, Classic, 漂向北方別問我家鄉, 漂向北方家人是否無恙"
體面,于文文,iISxA_7_g5Y,"前任3再見前任電影原聲帶, The Ex-File 3 The Return of the Exes Original Soundtrack, 2017, 2010年代, 2010s, 中國, 華語流行, Mandopop, 流行抒情, Pop Ballad, 戲劇主題曲, Soundtrack, 渾厚嗓音, Powerful Vocals, 鋼琴主導, Piano, 弦樂編制, Strings, 悲傷, Sadness, 療癒, Healing, 失戀, Heartbreak, 經典, Classic, 懷舊, Nostalgia, 咖啡廳, Cafe, 別灑脫像陌生人, 分手後我們很有默契"
你的酒館對我打了烊,陳雪凝,dR-UxehZtHs,"你的酒館對我打了烊, Your Tavern Closed For Me, 2019, 2010年代, 2010s, 中國, 華語流行, Mandopop, 流行抒情, Pop Ballad, 悲傷情歌, Sad Love Song, 流行女聲, Female Vocals, 獨特聲線, Unique Timbre, 鋼琴伴奏, Piano, 傷感氛圍, Melancholy, 療癒, Healing, 浪漫, Romantic, 失戀, Heartbreak, 咖啡廳, Cafe, 獨處, Solitude, 你的酒館對我打了烊, 你的酒館對我打了烊"
年少有為,李榮浩,ab_FXDxReA0,耳朵，耳朵，2018，2010年代，2010s，China，華語流行，Mandopop，李氏情歌，Li Ronghao Style，流行抒情，Pop Ballad，都會流行，Urban Pop，深情嗓音，Soulful Vocals，鋼琴編配，Piano，鼓組節奏，Drums，傷感氛圍，Melancholic，敘事感，Narrative，懷舊，Nostalgic，經典，Classic，婚禮，Wedding，咖啡廳，Cafe，療癒，Healing，懂事，假如我年少有為不自卑
以後別做朋友,周興哲,c9P_lSnPSP8,"學著愛, My Way To Love, 2014, 2010年代, 2010s, Taiwan, 華語流行, Mandopop, 周氏情歌, Eric Chou Style, 流行抒情, Pop Ballad, 鋼琴主導, Piano, 弦樂編制, Strings, 深情嗓音, Emotional Vocals, 敘事風格, Narrative, 催淚情歌, Tearjerker, 療癒系, Healing, 浪漫, Romantic, 經典, Classic, 流行情歌, Love Song, 傷感, Melancholic, 孤獨感, Loneliness, 情感共鳴, Emotive, 以後別做朋友, 我沒說多痛如果你沒聽見"
晴天,周杰倫,GDmClsB99_s,"葉惠美, Ye Hui Mei, 2003, 2000年代, 2000s, 台灣, Taiwan, 華語流行, Mandopop, 周氏情歌, Jay Chou Style, Pop Ballad, 流行抒情, Soft Rock, 搖滾抒情, Clean Vocals, 清澈嗓音, Piano, 鋼琴伴奏, Acoustic Guitar, 木吉他, Strings, 弦樂編制, Romantic, 浪漫, Nostalgic, 懷舊, Classic, 經典, Healing, 療癒, Dating, 約會, 故事的小黃花從出生那年就飄著, 從前從前有個人愛你很久"
那些你很冒險的夢,林俊傑,fNahjwxgiHc,"學不會, Lost N Found, 2011, 2010年代, 2010s, Taiwan, 華語流行, Mandopop, 林式情歌, JJ Lin Style, 流行抒情, Pop Ballad, 鋼琴主導, Piano, 弦樂編制, Strings, 流行節奏, Pop Groove, 情感敘事, Emotional Storytelling, 磁性嗓音, Magnetic Vocals, 情感爆發, Vocal Dynamics, 療癒, Healing, 抒情經典, Classic Ballad, 浪漫場景, Romantic, 深情, Sincere, 城市都會, Urban, 當你若有一天在某個夢裡出現, 當那些你很冒險的夢我陪你去瘋"
